,burn_val,speed,channel
0,36,1,0
1,36,2,0
2,36,3,0
3,36,4,0
4,36,5,0
5,36,6,0
6,36,7,0
7,36,8,0
8,36,9,0
9,36,10,0
10,72,11,1
11,72,12,1
12,72,13,1
13,72,14,1
14,72,15,1
15,72,16,1
16,72,17,1
17,72,18,1
18,72,19,1
19,72,20,1
20,108,21,2
21,108,22,2
22,108,23,2
23,108,24,2
24,108,25,2
25,108,26,2
26,108,27,2
27,108,28,2
28,108,29,2
29,108,30,2
30,144,31,3
31,144,32,3
32,144,33,3
33,144,34,3
34,144,35,3
35,144,36,3
36,144,37,3
37,144,38,3
38,144,39,3
39,144,40,3
40,180,41,4
41,180,42,4
42,180,43,4
43,180,44,4
44,180,45,4
45,180,46,4
46,180,47,4
47,180,48,4
48,180,49,4
49,180,50,4
50,216,51,5
51,216,52,5
52,216,53,5
53,216,54,5
54,216,55,5
55,216,56,5
56,216,57,5
57,216,58,5
58,216,59,5
59,216,60,5
60,252,61,6
61,252,62,6
62,252,63,6
63,252,64,6
64,252,65,6
